Id. zařízení;Typ;Název zařízení;Obec;Ulice;Č.p.;Č.o.;M.část.;PSČ;Cizí vyučovací jazyk;Kapacita;Platnost zařízení;address
049625918;A00;Mateřská škola;Praha 1;Ostrovní;139;11;Nové Město;11000;;54;Platné;Praha, Ostrovní 139/11
102413096;L11;Školní jídelna;Praha 1;Ostrovní;139;11;Nové Město;11000;;90;Platné;Praha, Ostrovní 139/11
110350324;A00;Mateřská škola;Praha 1;Loretánská;104;19;Hradčany;11800;;16;Platné;Praha, Loretánská 104/19
048134546;B00;Základní škola;Praha 1;Loretánská;104;19;Hradčany;11800;;85;Platné;Praha, Loretánská 104/19
110036166;C00;Střední škola;Praha 1;Loretánská;104;19;Hradčany;11800;;24;Platné;Praha, Loretánská 104/19
151040796;F10;Základní umělecká škola;Praha 1;Loretánská;104;19;Hradčany;11800;;80;Platné;Praha, Loretánská 104/19
110011180;G21;Školní družina;Praha 1;Loretánská;104;19;Hradčany;11800;;24;Platné;Praha, Loretánská 104/19
150008988;G22;Školní klub;Praha 1;Loretánská;104;19;Hradčany;11800;;22;Platné;Praha, Loretánská 104/19
110011171;H21;Internát;Praha 1;Loretánská;104;19;Hradčany;11800;;44;Platné;Praha, Loretánská 104/19
110011198;K20;Speciálně pedagogické centrum;Praha 1;Loretánská;104;19;Hradčany;11800;;neuvádí se;Platné;Praha, Loretánská 104/19
102413002;L11;Školní jídelna;Praha 1;Loretánská;104;19;Hradčany;11800;;130;Platné;Praha, Loretánská 104/19
107500078;A00;Mateřská škola;Praha 1;Letenská;120;5;Malá Strana;11800;;70;Platné;Praha, Letenská 120/5
102413061;L11;Školní jídelna;Praha 1;Letenská;120;5;Malá Strana;11800;;95;Platné;Praha, Letenská 120/5
107500086;A00;Mateřská škola;Praha 1;Masná;700;11;Staré Město;11000;;100;Platné;Praha, Masná 700/11
102413070;L11;Školní jídelna;Praha 1;Masná;700;11;Staré Město;11000;;100;Platné;Praha, Masná 700/11
107500141;A00;Mateřská škola;Praha 1;Revoluční;1247;26;Nové Město;11000;;125;Platné;Praha, Revoluční 1247/26
112000240;L11;Školní jídelna;Praha 1;Revoluční;1247;26;Nové Město;11000;;125;Platné;Praha, Revoluční 1247/26
102385025;A00;Mateřská škola;Praha 1;Opletalova;925;14;Nové Město;11000;;65;Platné;Praha, Opletalova 925/14
102401900;L11;Školní jídelna;Praha 1;Opletalova;925;14;Nové Město;11000;;85;Platné;Praha, Opletalova 925/14
112000223;L13;Školní jídelna - výdejna;Praha 1;Ve Smečkách;1767;7;Nové Město;11000;;19;Platné;Praha, Ve Smečkách 1767/7
107500094;A00;Mateřská škola;Praha 1;Národní;416;37;Staré Město;11000;;214;Platné;Praha, Národní 416/37
102413088;L11;Školní jídelna;Praha 1;Národní;416;37;Staré Město;11000;;214;Platné;Praha, Národní 416/37
107500051;A00;Mateřská škola;Praha 1;Hellichova;300;13;Malá Strana;11800;;100;Platné;Praha, Hellichova 300/13
102413045;L11;Školní jídelna;Praha 1;Hellichova;300;13;Malá Strana;11800;;100;Platné;Praha, Hellichova 300/13
107500116;A00;Mateřská škola;Praha 1;Pštrossova;204;11;Nové Město;11000;;75;Platné;Praha, Pštrossova 204/11
102413100;L11;Školní jídelna;Praha 1;Pštrossova;204;11;Nové Město;11000;;75;Platné;Praha, Pštrossova 204/11
151002142;B00;Základní škola;Praha 4;Hrudičkova;2107;16;Chodov;14800;;55;Platné;Praha, Hrudičkova 2107/16
181060591;A00;Mateřská škola;Praha 4;Hrudičkova;2107;16;Chodov;14800;;75;Platné;Praha, Hrudičkova 2107/16
181060604;L13;Školní jídelna - výdejna;Praha 4;Hrudičkova;2107;16;Chodov;14800;;120;Platné;Praha, Hrudičkova 2107/16
181060612;G21;Školní družina;Praha 4;Hrudičkova;2107;16;Chodov;14800;;55;Platné;Praha, Hrudičkova 2107/16
181068559;A00;Mateřská škola;Praha 1;Na poříčí;1041;12;Nové Město;11000;;20;Platné;Praha, Na poříčí 1041/12
181068567;L13;Školní jídelna - výdejna;Praha 1;Na poříčí;1041;12;Nové Město;11000;;20;Platné;Praha, Na poříčí 1041/12
181068699;A00;Mateřská škola;Praha 1;Na Florenci;2116;15;Nové Město;11000;;50;Platné;Praha, Na Florenci 2116/15
181068702;L13;Školní jídelna - výdejna;Praha 1;Na Florenci;2116;15;Nové Město;11000;;50;Platné;Praha, Na Florenci 2116/15
181077647;A00;Mateřská škola;Praha 5;Pod chaloupkami;1309;;Zbraslav;15600;;15;Platné;Praha, Pod chaloupkami 1309
181077655;L13;Školní jídelna - výdejna;Praha 5;Pod chaloupkami;1309;;Zbraslav;15600;;15;Platné;Praha, Pod chaloupkami 1309
181077990;A00;Mateřská škola;Praha 8;Sokolovská;668;136;Karlín;18600;;50;Platné;Praha, Sokolovská 668/136
181078015;L13;Školní jídelna - výdejna;Praha 8;Sokolovská;668;136;Karlín;18600;;50;Platné;Praha, Sokolovská 668/136
181088762;A00;Mateřská škola;Praha 1;Těšnov;65;17;Nové Město;11000;;42;Platné;Praha, Těšnov 65/17
181088771;L13;Školní jídelna - výdejna;Praha 1;Těšnov;65;17;Nové Město;11000;;42;Platné;Praha, Těšnov 65/17
181131161;A15;Mateřská škola (lesní);Praha 5, k. ú. Košíře;U tenisu (bez č.p.), č. parcely 1890;;;;15000;;30;Platné;Praha, k. ú. Košíře, U tenisu (bez č.p.), č. parcely 1890
181131170;L15;Výdejna lesní mateřské školy;Praha 5, k. ú. Košíře;U tenisu (bez č.p.), č. parcely 1890;;;;15000;;30;Platné;Praha, k. ú. Košíře, U tenisu (bez č.p.), č. parcely 1890
102525757;A00;Mateřská škola;Praha 2;Ke Karlovu;455;2;Nové Město;12000;;36;Platné;Praha, Ke Karlovu 455/2
102037884;B00;Základní škola;Praha 2;Ke Karlovu;455;2;Nové Město;12000;;80;Platné;Praha, Ke Karlovu 455/2
110001737;A00;Mateřská škola;Praha 2;Ječná;530;27;Nové Město;12000;;24;Platné;Praha, Ječná 530/27
110001711;B00;Základní škola;Praha 2;Ječná;530;27;Nové Město;12000;;200;Platné;Praha, Ječná 530/27
000638226;C00;Střední škola;Praha 2;Ječná;530;27;Nové Město;12000;;50;Platné;Praha, Ječná 530/27
110001745;G21;Školní družina;Praha 2;Ječná;530;27;Nové Město;12000;;56;Platné;Praha, Ječná 530/27
